WKT,gml_id,OBJECTID,beginLifespanVersion,endLifespanVersion,datasetName,localId,inspireId,inspireTheme,version,description,longitude,latitude,mediaMonitored,measurementRegime,mobile,resultAcquisitionSource,specialisedEMFType,processType,resultNature,environmentalMonitoringActivity,activityConditions,responsibleParty,environmentalMonitoringProgramme,environmentalMonitoringNetwork,additionalDescription,specificReference,legislationCitation,dateEnteredIntoForce,legislationLevel,linkToJournal,scale,coordinateReferenceSystem,styleLayerDescription,licence,dataProvenance,dataAccessUrl
"POINT (-6.146166665999942 54.04933333300005)",F61__1,1,2000-02-18T21:32:00,2016-10-12T14:20:00,Contaminants in Water Station,IA37E3967,EF.EnvironmentalMonitoringFacilities.IE.MarineInstitute.ContaminantsWater.IA37E3967,http://inspire.ec.europa.eu/theme/ef,2000,Contaminants in water sample station,-6.146166666,54.049333333,http://inspire.ec.europa.eu/codelist/MediaValue/water,http://inspire.ec.europa.eu/codelist/MeasurementRegimeValue/demandDrivenDataCollection,-1,http://inspire.ec.europa.eu/codelist/ResultAcquisitionSourceValue/inSitu,station,http://inspire.ec.europa.eu/codelist/ProcessTypeValue/process,http://inspire.ec.europa.eu/codelist/ResultNatureValue/processed,http://www.marine.ie/Home/site-area/areas-activity/marine-environment/nutrients-and-ocean-acidification-oa,Water quality monitoring for nutrients and ocean acidification,http://dbpedia.org/resource/Marine_Institute_Ireland,JMP,Network of water quality monitoring stations,Marine Instititute water quality monitoring station,http://dbpedia.org/resource/Legislation,http://www.ospar.org/work-areas/cross-cutting-issues/jamp,1992-06-01T00:00:00,http://inspire.ec.europa.eu/codelist/LegislationLevelValue/european,http://www.ospar.org/site/assets/files/1290/ospar_convention_e_updated_text_in_2007_no_revs.pdf,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"EF.EnvironmentalMonitoringFacilities.Default representativePoint square with a size of 6 pixels, with a 50% Grey (RGB: 128,128,128) fill and a Black (RGB: 0,0,0) outline",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,http://atlas.marine.ie/arcgis/rest/services/EnvironmentalMonitoringFacilities/MapServer/10
"POINT (-5.946166665999954 54.049833333000038)",F61__2,2,2000-02-14T23:56:00,2016-10-12T14:20:00,Contaminants in Water Station,IA37E4334,EF.EnvironmentalMonitoringFacilities.IE.MarineInstitute.ContaminantsWater.IA37E4334,http://inspire.ec.europa.eu/theme/ef,2000,Contaminants in water sample station,-5.946166666,54.049833333,http://inspire.ec.europa.eu/codelist/MediaValue/water,http://inspire.ec.europa.eu/codelist/MeasurementRegimeValue/demandDrivenDataCollection,-1,http://inspire.ec.europa.eu/codelist/ResultAcquisitionSourceValue/inSitu,station,http://inspire.ec.europa.eu/codelist/ProcessTypeValue/process,http://inspire.ec.europa.eu/codelist/ResultNatureValue/processed,http://www.marine.ie/Home/site-area/areas-activity/marine-environment/nutrients-and-ocean-acidification-oa,Water quality monitoring for nutrients and ocean acidification,http://dbpedia.org/resource/Marine_Institute_Ireland,JMP,Network of water quality monitoring stations,Marine Instititute water quality monitoring station,http://dbpedia.org/resource/Legislation,http://www.ospar.org/work-areas/cross-cutting-issues/jamp,1992-06-01T00:00:00,http://inspire.ec.europa.eu/codelist/LegislationLevelValue/european,http://www.ospar.org/site/assets/files/1290/ospar_convention_e_updated_text_in_2007_no_revs.pdf,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"EF.EnvironmentalMonitoringFacilities.Default representativePoint square with a size of 6 pixels, with a 50% Grey (RGB: 128,128,128) fill and a Black (RGB: 0,0,0) outline",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,http://atlas.marine.ie/arcgis/rest/services/EnvironmentalMonitoringFacilities/MapServer/10
"POINT (-5.90083333299998 54.049666666000064)",F61__3,3,2000-02-14T23:45:00,2016-10-12T14:20:00,Contaminants in Water Station,IA37E4337,EF.EnvironmentalMonitoringFacilities.IE.MarineInstitute.ContaminantsWater.IA37E4337,http://inspire.ec.europa.eu/theme/ef,2000,Contaminants in water sample station,-5.900833333,54.049666666,http://inspire.ec.europa.eu/codelist/MediaValue/water,http://inspire.ec.europa.eu/codelist/MeasurementRegimeValue/demandDrivenDataCollection,-1,http://inspire.ec.europa.eu/codelist/ResultAcquisitionSourceValue/inSitu,station,http://inspire.ec.europa.eu/codelist/ProcessTypeValue/process,http://inspire.ec.europa.eu/codelist/ResultNatureValue/processed,http://www.marine.ie/Home/site-area/areas-activity/marine-environment/nutrients-and-ocean-acidification-oa,Water quality monitoring for nutrients and ocean acidification,http://dbpedia.org/resource/Marine_Institute_Ireland,JMP,Network of water quality monitoring stations,Marine Instititute water quality monitoring station,http://dbpedia.org/resource/Legislation,http://www.ospar.org/work-areas/cross-cutting-issues/jamp,1992-06-01T00:00:00,http://inspire.ec.europa.eu/codelist/LegislationLevelValue/european,http://www.ospar.org/site/assets/files/1290/ospar_convention_e_updated_text_in_2007_no_revs.pdf,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"EF.EnvironmentalMonitoringFacilities.Default representativePoint square with a size of 6 pixels, with a 50% Grey (RGB: 128,128,128) fill and a Black (RGB: 0,0,0) outline",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,http://atlas.marine.ie/arcgis/rest/services/EnvironmentalMonitoringFacilities/MapServer/10
"POINT (-5.8525 54.049166666000083)",F61__4,4,2000-02-14T23:31:00,2016-10-12T14:20:00,Contaminants in Water Station,IA37E436,EF.EnvironmentalMonitoringFacilities.IE.MarineInstitute.ContaminantsWater.IA37E436,http://inspire.ec.europa.eu/theme/ef,2000,Contaminants in water sample station,-5.8525,54.049166666,http://inspire.ec.europa.eu/codelist/MediaValue/water,http://inspire.ec.europa.eu/codelist/MeasurementRegimeValue/demandDrivenDataCollection,-1,http://inspire.ec.europa.eu/codelist/ResultAcquisitionSourceValue/inSitu,station,http://inspire.ec.europa.eu/codelist/ProcessTypeValue/process,http://inspire.ec.europa.eu/codelist/ResultNatureValue/processed,http://www.marine.ie/Home/site-area/areas-activity/marine-environment/nutrients-and-ocean-acidification-oa,Water quality monitoring for nutrients and ocean acidification,http://dbpedia.org/resource/Marine_Institute_Ireland,JMP,Network of water quality monitoring stations,Marine Instititute water quality monitoring station,http://dbpedia.org/resource/Legislation,http://www.ospar.org/work-areas/cross-cutting-issues/jamp,1992-06-01T00:00:00,http://inspire.ec.europa.eu/codelist/LegislationLevelValue/european,http://www.ospar.org/site/assets/files/1290/ospar_convention_e_updated_text_in_2007_no_revs.pdf,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"EF.EnvironmentalMonitoringFacilities.Default representativePoint square with a size of 6 pixels, with a 50% Grey (RGB: 128,128,128) fill and a Black (RGB: 0,0,0) outline",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,http://atlas.marine.ie/arcgis/rest/services/EnvironmentalMonitoringFacilities/MapServer/10
"POINT (-5.800166665999939 54.0495)",F61__5,5,2000-02-14T23:22:00,2016-10-12T14:20:00,Contaminants in Water Station,IA37E436,EF.EnvironmentalMonitoringFacilities.IE.MarineInstitute.ContaminantsWater.IA37E436,http://inspire.ec.europa.eu/theme/ef,2000,Contaminants in water sample station,-5.800166666,54.0495,http://inspire.ec.europa.eu/codelist/MediaValue/water,http://inspire.ec.europa.eu/codelist/MeasurementRegimeValue/demandDrivenDataCollection,-1,http://inspire.ec.europa.eu/codelist/ResultAcquisitionSourceValue/inSitu,station,http://inspire.ec.europa.eu/codelist/ProcessTypeValue/process,http://inspire.ec.europa.eu/codelist/ResultNatureValue/processed,http://www.marine.ie/Home/site-area/areas-activity/marine-environment/nutrients-and-ocean-acidification-oa,Water quality monitoring for nutrients and ocean acidification,http://dbpedia.org/resource/Marine_Institute_Ireland,JMP,Network of water quality monitoring stations,Marine Instititute water quality monitoring station,http://dbpedia.org/resource/Legislation,http://www.ospar.org/work-areas/cross-cutting-issues/jamp,1992-06-01T00:00:00,http://inspire.ec.europa.eu/codelist/LegislationLevelValue/european,http://www.ospar.org/site/assets/files/1290/ospar_convention_e_updated_text_in_2007_no_revs.pdf,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"EF.EnvironmentalMonitoringFacilities.Default representativePoint square with a size of 6 pixels, with a 50% Grey (RGB: 128,128,128) fill and a Black (RGB: 0,0,0) outline",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,http://atlas.marine.ie/arcgis/rest/services/EnvironmentalMonitoringFacilities/MapServer/10
"POINT (-5.701 54.048166666000043)",F61__6,6,2000-02-14T22:59:00,2016-10-12T14:20:00,Contaminants in Water Station,IA37E439,EF.EnvironmentalMonitoringFacilities.IE.MarineInstitute.ContaminantsWater.IA37E439,http://inspire.ec.europa.eu/theme/ef,2000,Contaminants in water sample station,-5.701,54.048166666,http://inspire.ec.europa.eu/codelist/MediaValue/water,http://inspire.ec.europa.eu/codelist/MeasurementRegimeValue/demandDrivenDataCollection,-1,http://inspire.ec.europa.eu/codelist/ResultAcquisitionSourceValue/inSitu,station,http://inspire.ec.europa.eu/codelist/ProcessTypeValue/process,http://inspire.ec.europa.eu/codelist/ResultNatureValue/processed,http://www.marine.ie/Home/site-area/areas-activity/marine-environment/nutrients-and-ocean-acidification-oa,Water quality monitoring for nutrients and ocean acidification,http://dbpedia.org/resource/Marine_Institute_Ireland,JMP,Network of water quality monitoring stations,Marine Instititute water quality monitoring station,http://dbpedia.org/resource/Legislation,http://www.ospar.org/work-areas/cross-cutting-issues/jamp,1992-06-01T00:00:00,http://inspire.ec.europa.eu/codelist/LegislationLevelValue/european,http://www.ospar.org/site/assets/files/1290/ospar_convention_e_updated_text_in_2007_no_revs.pdf,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"EF.EnvironmentalMonitoringFacilities.Default representativePoint square with a size of 6 pixels, with a 50% Grey (RGB: 128,128,128) fill and a Black (RGB: 0,0,0) outline",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,http://atlas.marine.ie/arcgis/rest/services/EnvironmentalMonitoringFacilities/MapServer/10
"POINT (-6.104666665999956 54.027666666000073)",F61__7,7,2000-02-18T21:21:00,2016-10-12T14:20:00,Contaminants in Water Station,IA37E3992,EF.EnvironmentalMonitoringFacilities.IE.MarineInstitute.ContaminantsWater.IA37E3992,http://inspire.ec.europa.eu/theme/ef,2000,Contaminants in water sample station,-6.104666666,54.027666666,http://inspire.ec.europa.eu/codelist/MediaValue/water,http://inspire.ec.europa.eu/codelist/MeasurementRegimeValue/demandDrivenDataCollection,-1,http://inspire.ec.europa.eu/codelist/ResultAcquisitionSourceValue/inSitu,station,http://inspire.ec.europa.eu/codelist/ProcessTypeValue/process,http://inspire.ec.europa.eu/codelist/ResultNatureValue/processed,http://www.marine.ie/Home/site-area/areas-activity/marine-environment/nutrients-and-ocean-acidification-oa,Water quality monitoring for nutrients and ocean acidification,http://dbpedia.org/resource/Marine_Institute_Ireland,JMP,Network of water quality monitoring stations,Marine Instititute water quality monitoring station,http://dbpedia.org/resource/Legislation,http://www.ospar.org/work-areas/cross-cutting-issues/jamp,1992-06-01T00:00:00,http://inspire.ec.europa.eu/codelist/LegislationLevelValue/european,http://www.ospar.org/site/assets/files/1290/ospar_convention_e_updated_text_in_2007_no_revs.pdf,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"EF.EnvironmentalMonitoringFacilities.Default representativePoint square with a size of 6 pixels, with a 50% Grey (RGB: 128,128,128) fill and a Black (RGB: 0,0,0) outline",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,http://atlas.marine.ie/arcgis/rest/services/EnvironmentalMonitoringFacilities/MapServer/10
"POINT (-6.048 53.999666666000046)",F61__8,8,2000-02-15T00:29:00,2016-10-12T14:20:00,Contaminants in Water Station,IA36E3774,EF.EnvironmentalMonitoringFacilities.IE.MarineInstitute.ContaminantsWater.IA36E3774,http://inspire.ec.europa.eu/theme/ef,2000,Contaminants in water sample station,-6.048,53.999666666,http://inspire.ec.europa.eu/codelist/MediaValue/water,http://inspire.ec.europa.eu/codelist/MeasurementRegimeValue/demandDrivenDataCollection,-1,http://inspire.ec.europa.eu/codelist/ResultAcquisitionSourceValue/inSitu,station,http://inspire.ec.europa.eu/codelist/ProcessTypeValue/process,http://inspire.ec.europa.eu/codelist/ResultNatureValue/processed,http://www.marine.ie/Home/site-area/areas-activity/marine-environment/nutrients-and-ocean-acidification-oa,Water quality monitoring for nutrients and ocean acidification,http://dbpedia.org/resource/Marine_Institute_Ireland,JMP,Network of water quality monitoring stations,Marine Instititute water quality monitoring station,http://dbpedia.org/resource/Legislation,http://www.ospar.org/work-areas/cross-cutting-issues/jamp,1992-06-01T00:00:00,http://inspire.ec.europa.eu/codelist/LegislationLevelValue/european,http://www.ospar.org/site/assets/files/1290/ospar_convention_e_updated_text_in_2007_no_revs.pdf,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"EF.EnvironmentalMonitoringFacilities.Default representativePoint square with a size of 6 pixels, with a 50% Grey (RGB: 128,128,128) fill and a Black (RGB: 0,0,0) outline",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,http://atlas.marine.ie/arcgis/rest/services/EnvironmentalMonitoringFacilities/MapServer/10
"POINT (-6.004666665999936 54.000166666000041)",F61__9,9,2000-02-15T00:20:00,2016-10-12T14:20:00,Contaminants in Water Station,IA37E3999,EF.EnvironmentalMonitoringFacilities.IE.MarineInstitute.ContaminantsWater.IA37E3999,http://inspire.ec.europa.eu/theme/ef,2000,Contaminants in water sample station,-6.004666666,54.000166666,http://inspire.ec.europa.eu/codelist/MediaValue/water,http://inspire.ec.europa.eu/codelist/MeasurementRegimeValue/demandDrivenDataCollection,-1,http://inspire.ec.europa.eu/codelist/ResultAcquisitionSourceValue/inSitu,station,http://inspire.ec.europa.eu/codelist/ProcessTypeValue/process,http://inspire.ec.europa.eu/codelist/ResultNatureValue/processed,http://www.marine.ie/Home/site-area/areas-activity/marine-environment/nutrients-and-ocean-acidification-oa,Water quality monitoring for nutrients and ocean acidification,http://dbpedia.org/resource/Marine_Institute_Ireland,JMP,Network of water quality monitoring stations,Marine Instititute water quality monitoring station,http://dbpedia.org/resource/Legislation,http://www.ospar.org/work-areas/cross-cutting-issues/jamp,1992-06-01T00:00:00,http://inspire.ec.europa.eu/codelist/LegislationLevelValue/european,http://www.ospar.org/site/assets/files/1290/ospar_convention_e_updated_text_in_2007_no_revs.pdf,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"EF.EnvironmentalMonitoringFacilities.Default representativePoint square with a size of 6 pixels, with a 50% Grey (RGB: 128,128,128) fill and a Black (RGB: 0,0,0) outline",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,http://atlas.marine.ie/arcgis/rest/services/EnvironmentalMonitoringFacilities/MapServer/10
"POINT (-5.947 54.0)",F61__10,10,2000-02-18T22:27:00,2016-10-12T14:20:00,Contaminants in Water Station,IA37E4336,EF.EnvironmentalMonitoringFacilities.IE.MarineInstitute.ContaminantsWater.IA37E4336,http://inspire.ec.europa.eu/theme/ef,2000,Contaminants in water sample station,-5.947,54,http://inspire.ec.europa.eu/codelist/MediaValue/water,http://inspire.ec.europa.eu/codelist/MeasurementRegimeValue/demandDrivenDataCollection,-1,http://inspire.ec.europa.eu/codelist/ResultAcquisitionSourceValue/inSitu,station,http://inspire.ec.europa.eu/codelist/ProcessTypeValue/process,http://inspire.ec.europa.eu/codelist/ResultNatureValue/processed,http://www.marine.ie/Home/site-area/areas-activity/marine-environment/nutrients-and-ocean-acidification-oa,Water quality monitoring for nutrients and ocean acidification,http://dbpedia.org/resource/Marine_Institute_Ireland,JMP,Network of water quality monitoring stations,Marine Instititute water quality monitoring station,http://dbpedia.org/resource/Legislation,http://www.ospar.org/work-areas/cross-cutting-issues/jamp,1992-06-01T00:00:00,http://inspire.ec.europa.eu/codelist/LegislationLevelValue/european,http://www.ospar.org/site/assets/files/1290/ospar_convention_e_updated_text_in_2007_no_revs.pdf,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"EF.EnvironmentalMonitoringFacilities.Default representativePoint square with a size of 6 pixels, with a 50% Grey (RGB: 128,128,128) fill and a Black (RGB: 0,0,0) outline",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,http://atlas.marine.ie/arcgis/rest/services/EnvironmentalMonitoringFacilities/MapServer/10
