"Код поста","Дата","Значение","Условный знак"
"14002","2001-01-01","58","*"
"14002","2001-01-02","58","*"
"14002","2001-01-03","58","*"
"14002","2001-01-04","58","*"
"14002","2001-01-05","59",""
"14002","2001-01-06","60","*"
"14002","2001-01-07","59","*"
"14002","2001-01-08","59","*"
"14002","2001-01-09","59","*"
"14002","2001-01-10","58","I"
"14002","2001-01-11","75","I"
"14002","2001-01-12","108","I"
"14002","2001-01-13","145","I"
"14002","2001-01-14","140","I"
"14002","2001-01-15","134","I"
"14002","2001-01-16","146","I"
"14002","2001-01-17","149","I"
"14002","2001-01-18","146","I"
"14002","2001-01-19","144","I"
"14002","2001-01-20","139","I"
"14002","2001-01-21","134","I"
"14002","2001-01-22","140","I"
"14002","2001-01-23","148","I"
"14002","2001-01-24","155","I"
"14002","2001-01-25","150","I"
"14002","2001-01-26","139","I"
"14002","2001-01-27","125","I"
"14002","2001-01-28","126","I"
"14002","2001-01-29","123","I"
"14002","2001-01-30","122","I"
"14002","2001-01-31","126","I"
"14002","2001-02-01","133","I"
"14002","2001-02-02","135","I"
"14002","2001-02-03","140","I"
"14002","2001-02-04","138","I"
"14002","2001-02-05","139","I"
"14002","2001-02-06","146","I"
"14002","2001-02-07","150","I"
"14002","2001-02-08","153","I"
"14002","2001-02-09","157","I"
"14002","2001-02-10","156","I"
"14002","2001-02-11","152","I"
"14002","2001-02-12","150","I"
"14002","2001-02-13","150","I"
"14002","2001-02-14","148","I"
"14002","2001-02-15","142","I"
"14002","2001-02-16","148","I"
"14002","2001-02-17","148","I"
"14002","2001-02-18","145","I"
"14002","2001-02-19","151","I"
"14002","2001-02-20","154","I"
"14002","2001-02-21","153","I"
"14002","2001-02-22","154","I"
"14002","2001-02-23","154","I"
"14002","2001-02-24","154","I"
"14002","2001-02-25","166","I"
"14002","2001-02-26","170","I"
"14002","2001-02-27","174","I"
"14002","2001-02-28","172","I"
"14002","2001-03-01","190","I"
"14002","2001-03-02","188","Л"
"14002","2001-03-03","158","N"
"14002","2001-03-04","91","N"
"14002","2001-03-05","84",""
"14002","2001-03-06","82",""
"14002","2001-03-07","80",""
"14002","2001-03-08","78",""
"14002","2001-03-09","80",""
"14002","2001-03-10","82",""
"14002","2001-03-11","82",""
"14002","2001-03-12","84",""
"14002","2001-03-13","90",""
"14002","2001-03-14","93",""
"14002","2001-03-15","90",""
"14002","2001-03-16","86",""
"14002","2001-03-17","84",""
"14002","2001-03-18","83",""
"14002","2001-03-19","82",""
"14002","2001-03-20","80",""
"14002","2001-03-21","82",""
"14002","2001-03-22","86",""
"14002","2001-03-23","86",""
"14002","2001-03-24","90",""
"14002","2001-03-25","94",""
"14002","2001-03-26","100",""
"14002","2001-03-27","108",""
"14002","2001-03-28","110",""
"14002","2001-03-29","118",""
"14002","2001-03-30","126",""
"14002","2001-03-31","126",""
"14002","2001-04-01","129",""
"14002","2001-04-02","135",""
"14002","2001-04-03","150",""
"14002","2001-04-04","154",""
"14002","2001-04-05","123",""
"14002","2001-04-06","97",""
"14002","2001-04-07","84",""
"14002","2001-04-08","83",""
"14002","2001-04-09","76",""
"14002","2001-04-10","72",""
"14002","2001-04-11","59",""
"14002","2001-04-12","53",""
"14002","2001-04-13","55",""
"14002","2001-04-14","75",""
"14002","2001-04-15","53",""
"14002","2001-04-16","118",""
"14002","2001-04-17","142",""
"14002","2001-04-18","160",""
"14002","2001-04-19","141",""
"14002","2001-04-20","130",""
"14002","2001-04-21","124",""
"14002","2001-04-22","136",""
"14002","2001-04-23","127",""
"14002","2001-04-24","119",""
"14002","2001-04-25","116",""
"14002","2001-04-26","126",""
"14002","2001-04-27","139",""
"14002","2001-04-28","131",""
"14002","2001-04-29","123",""
"14002","2001-04-30","120",""
"14002","2001-05-01","117",""
"14002","2001-05-02","116",""
"14002","2001-05-03","122",""
"14002","2001-05-04","128",""
"14002","2001-05-05","131",""
"14002","2001-05-06","151",""
"14002","2001-05-07","147",""
"14002","2001-05-08","142",""
"14002","2001-05-09","145",""
"14002","2001-05-10","162",""
"14002","2001-05-11","188",""
"14002","2001-05-12","208",""
"14002","2001-05-13","230",""
"14002","2001-05-14","234",""
"14002","2001-05-15","231",""
"14002","2001-05-16","227",""
"14002","2001-05-17","217",""
"14002","2001-05-18","209",""
"14002","2001-05-19","217",""
"14002","2001-05-20","250",""
"14002","2001-05-21","272",""
"14002","2001-05-22","277",""
"14002","2001-05-23","234",""
"14002","2001-05-24","210",""
"14002","2001-05-25","213",""
"14002","2001-05-26","223",""
"14002","2001-05-27","216",""
"14002","2001-05-28","221",""
"14002","2001-05-29","220",""
"14002","2001-05-30","239",""
"14002","2001-05-31","251",""
"14002","2001-06-01","266",""
"14002","2001-06-02","254",""
"14002","2001-06-03","265",""
"14002","2001-06-04","292",""
"14002","2001-06-05","294",""
"14002","2001-06-06","253",""
"14002","2001-06-07","258",""
"14002","2001-06-08","256",""
"14002","2001-06-09","239",""
"14002","2001-06-10","238",""
"14002","2001-06-11","194",""
"14002","2001-06-12","188",""
"14002","2001-06-13","191",""
"14002","2001-06-14","222",""
"14002","2001-06-15","249",""
"14002","2001-06-16","258",""
"14002","2001-06-17","236",""
"14002","2001-06-18","225",""
"14002","2001-06-19","218",""
"14002","2001-06-20","208",""
"14002","2001-06-21","232",""
"14002","2001-06-22","240",""
"14002","2001-06-23","245",""
"14002","2001-06-24","248",""
"14002","2001-06-25","283",""
"14002","2001-06-26","243",""
"14002","2001-06-27","212",""
"14002","2001-06-28","204",""
"14002","2001-06-29","196",""
"14002","2001-06-30","209",""
"14002","2001-07-01","218",""
"14002","2001-07-02","222",""
"14002","2001-07-03","240",""
"14002","2001-07-04","265",""
"14002","2001-07-05","250",""
"14002","2001-07-06","245",""
"14002","2001-07-07","249",""
"14002","2001-07-08","204",""
"14002","2001-07-09","192",""
"14002","2001-07-10","179",""
"14002","2001-07-11","171",""
"14002","2001-07-12","175",""
"14002","2001-07-13","189",""
"14002","2001-07-14","220",""
"14002","2001-07-15","233",""
"14002","2001-07-16","214",""
"14002","2001-07-17","194",""
"14002","2001-07-18","169",""
"14002","2001-07-19","169",""
"14002","2001-07-20","176",""
"14002","2001-07-21","179",""
"14002","2001-07-22","190",""
"14002","2001-07-23","215",""
"14002","2001-07-24","215",""
"14002","2001-07-25","218",""
"14002","2001-07-26","211",""
"14002","2001-07-27","212",""
"14002","2001-07-28","201",""
"14002","2001-07-29","189",""
"14002","2001-07-30","198",""
"14002","2001-07-31","232",""
"14002","2001-08-01","275",""
"14002","2001-08-02","298",""
"14002","2001-08-03","287",""
"14002","2001-08-04","268",""
"14002","2001-08-05","273",""
"14002","2001-08-06","268",""
"14002","2001-08-07","266",""
"14002","2001-08-08","264",""
"14002","2001-08-09","276",""
"14002","2001-08-10","272",""
"14002","2001-08-11","275",""
"14002","2001-08-12","252",""
"14002","2001-08-13","237",""
"14002","2001-08-14","235",""
"14002","2001-08-15","252",""
"14002","2001-08-16","239",""
"14002","2001-08-17","228",""
"14002","2001-08-18","249",""
"14002","2001-08-19","269",""
"14002","2001-08-20","266",""
"14002","2001-08-21","269",""
"14002","2001-08-22","279",""
"14002","2001-08-23","254",""
"14002","2001-08-24","249",""
"14002","2001-08-25","241",""
"14002","2001-08-26","216",""
"14002","2001-08-27","213",""
"14002","2001-08-28","216",""
"14002","2001-08-29","225",""
"14002","2001-08-30","214",""
"14002","2001-08-31","213",""
"14002","2001-09-01","223",""
"14002","2001-09-02","215",""
"14002","2001-09-03","202",""
"14002","2001-09-04","195",""
"14002","2001-09-05","191",""
"14002","2001-09-06","192",""
"14002","2001-09-07","195",""
"14002","2001-09-08","192",""
"14002","2001-09-09","178",""
"14002","2001-09-10","175",""
"14002","2001-09-11","171",""
"14002","2001-09-12","171",""
"14002","2001-09-13","169",""
"14002","2001-09-14","164",""
"14002","2001-09-15","166",""
"14002","2001-09-16","159",""
"14002","2001-09-17","154",""
"14002","2001-09-18","149",""
"14002","2001-09-19","144",""
"14002","2001-09-20","140",""
"14002","2001-09-21","145",""
"14002","2001-09-22","150",""
"14002","2001-09-23","146",""
"14002","2001-09-24","139",""
"14002","2001-09-25","141",""
"14002","2001-09-26","135",""
"14002","2001-09-27","135",""
"14002","2001-09-28","139",""
"14002","2001-09-29","134",""
"14002","2001-09-30","129",""
"14002","2001-10-01","125",""
"14002","2001-10-02","120",""
"14002","2001-10-03","117",""
"14002","2001-10-04","117",""
"14002","2001-10-05","116",""
"14002","2001-10-06","118",""
"14002","2001-10-07","120",""
"14002","2001-10-08","128",""
"14002","2001-10-09","126",""
"14002","2001-10-10","127",""
"14002","2001-10-11","127",""
"14002","2001-10-12","130",""
"14002","2001-10-13","129",""
"14002","2001-10-14","126",""
"14002","2001-10-15","124",""
"14002","2001-10-16","121",""
"14002","2001-10-17","124",""
"14002","2001-10-18","126",""
"14002","2001-10-19","126",""
"14002","2001-10-20","130",""
"14002","2001-10-21","127",""
"14002","2001-10-22","128",""
"14002","2001-10-23","128",""
"14002","2001-10-24","131",""
"14002","2001-10-25","129",""
"14002","2001-10-26","126",""
"14002","2001-10-27","126",""
"14002","2001-10-28","127",""
"14002","2001-10-29","115",""
"14002","2001-10-30","114",""
"14002","2001-10-31","111",""
"14002","2001-11-01","110",""
"14002","2001-11-02","108",""
"14002","2001-11-03","106",""
"14002","2001-11-04","105",""
"14002","2001-11-05","104",""
"14002","2001-11-06","98",""
"14002","2001-11-07","98",""
"14002","2001-11-08","98",""
"14002","2001-11-09","98",""
"14002","2001-11-10","96",""
"14002","2001-11-11","97",""
"14002","2001-11-12","98",""
"14002","2001-11-13","97",""
"14002","2001-11-14","96",""
"14002","2001-11-15","92",""
"14002","2001-11-16","90",""
"14002","2001-11-17","90",""
"14002","2001-11-18","88",""
"14002","2001-11-19","86",""
"14002","2001-11-20","84",""
"14002","2001-11-21","82",""
"14002","2001-11-22","79",""
"14002","2001-11-23","77",""
"14002","2001-11-24","76",""
"14002","2001-11-25","74",""
"14002","2001-11-26","75",""
