"Код поста","Дата","Значение","Условный знак"
"11242","2017-01-01","468","_IВ"
"11242","2017-01-02","468","_IВ"
"11242","2017-01-03","468","_IВ"
"11242","2017-01-04","468","_IВ"
"11242","2017-01-05","468","_IВ"
"11242","2017-01-06","468","_IВ"
"11242","2017-01-07","468","_IВ"
"11242","2017-01-08","468","_IВ"
"11242","2017-01-09","468","_IВ"
"11242","2017-01-10","469","IВ"
"11242","2017-01-11","469","IВ"
"11242","2017-01-12","469","IВ"
"11242","2017-01-13","469","IВ"
"11242","2017-01-14","469","IВ"
"11242","2017-01-15","469","IВ"
"11242","2017-01-16","469","IВ"
"11242","2017-01-17","469","IВ"
"11242","2017-01-18","469","IВ"
"11242","2017-01-19","469","IВ"
"11242","2017-01-20","469","IВ"
"11242","2017-01-21","470","^IВ"
"11242","2017-01-22","470","^IВ"
"11242","2017-01-23","470","^IВ"
"11242","2017-01-24","470","^IВ"
"11242","2017-01-25","470","^IВ"
"11242","2017-01-26","470","^IВ"
"11242","2017-01-27","470","^IВ"
"11242","2017-01-28","470","^IВ"
"11242","2017-01-29","470","^IВ"
"11242","2017-01-30","470","^IВ"
"11242","2017-01-31","470","^IВ"
"11242","2017-02-01","470","^IВ"
"11242","2017-02-02","470","^IВ"
"11242","2017-02-03","470","^IВ"
"11242","2017-02-04","470","^IВ"
"11242","2017-02-05","470","^IВ"
"11242","2017-02-06","470","^IВ"
"11242","2017-02-07","470","^IВ"
"11242","2017-02-08","470","^IВ"
"11242","2017-02-09","470","^IВ"
"11242","2017-02-10","470","^IВ"
"11242","2017-02-11","470","^IВ"
"11242","2017-02-12","470","^IВ"
"11242","2017-02-13","469","IВ"
"11242","2017-02-14","469","IВ"
"11242","2017-02-15","469","IВ"
"11242","2017-02-16","469","_IВ"
"11242","2017-02-17","468","_IВ"
"11242","2017-02-18","468","_IВ"
"11242","2017-02-19","469","IВ"
"11242","2017-02-20","469","IВ"
"11242","2017-02-21","470","^IВ"
"11242","2017-02-22","470","^IВ"
"11242","2017-02-23","470","^IВ"
"11242","2017-02-24","470","^IВ"
"11242","2017-02-25","470","^IВ"
"11242","2017-02-26","470","^IВ"
"11242","2017-02-27","470","^IВ"
"11242","2017-02-28","470","^IВ"
"11242","2017-03-01","470","_IВ"
"11242","2017-03-02","470","_IВ"
"11242","2017-03-03","470","_IВ"
"11242","2017-03-04","470","_IВ"
"11242","2017-03-05","470","_IВ"
"11242","2017-03-06","470","_IВ"
"11242","2017-03-07","471","_IВ"
"11242","2017-03-08","472","IВ"
"11242","2017-03-09","472","IВ"
"11242","2017-03-10","472","IВ"
"11242","2017-03-11","474","IВ"
"11242","2017-03-12","474","IВ"
"11242","2017-03-13","474","IВ"
"11242","2017-03-14","474","IВ"
"11242","2017-03-15","474","IВ"
"11242","2017-03-16","474","IВ"
"11242","2017-03-17","474","IВ"
"11242","2017-03-18","474","IВ"
"11242","2017-03-19","475","IВ"
"11242","2017-03-20","475","IВ"
"11242","2017-03-21","475","IВ"
"11242","2017-03-22","475","IВ"
"11242","2017-03-23","475","IВ"
"11242","2017-03-24","475","IВ"
"11242","2017-03-25","475","IВ"
"11242","2017-03-26","475","IВ"
"11242","2017-03-27","475","IВ"
"11242","2017-03-28","475","IВ"
"11242","2017-03-29","478","IВ"
"11242","2017-03-30","484","IВ"
"11242","2017-03-31","504","^IВ"
"11242","2017-04-01","583","W"
"11242","2017-04-02","665","W"
"11242","2017-04-03","678","W"
"11242","2017-04-04","678","W"
"11242","2017-04-05","678","W"
"11242","2017-04-06","682","W"
"11242","2017-04-07","619","W"
"11242","2017-04-08","578","W"
"11242","2017-04-09","669","W"
"11242","2017-04-10","774","W"
"11242","2017-04-11","882","^"
"11242","2017-04-12","883",""
"11242","2017-04-13","833",""
"11242","2017-04-14","804",""
"11242","2017-04-15","767",""
"11242","2017-04-16","763",""
"11242","2017-04-17","782",""
"11242","2017-04-18","807",""
"11242","2017-04-19","723",""
"11242","2017-04-20","614",""
"11242","2017-04-21","591",""
"11242","2017-04-22","555",""
"11242","2017-04-23","549",""
"11242","2017-04-24","544",""
"11242","2017-04-25","537",""
"11242","2017-04-26","519",""
"11242","2017-04-27","509",""
"11242","2017-04-28","498",""
"11242","2017-04-29","489",""
"11242","2017-04-30","484","_"
"11242","2017-05-01","481","^"
"11242","2017-05-02","476",""
"11242","2017-05-03","474",""
"11242","2017-05-04","470",""
"11242","2017-05-05","464",""
"11242","2017-05-06","463",""
"11242","2017-05-07","458",""
"11242","2017-05-08","456",""
"11242","2017-05-09","452",""
"11242","2017-05-10","451",""
"11242","2017-05-11","451",""
"11242","2017-05-12","443",""
"11242","2017-05-13","441",""
"11242","2017-05-14","440",""
"11242","2017-05-15","440",""
"11242","2017-05-16","440",""
"11242","2017-05-17","440",""
"11242","2017-05-18","438",""
"11242","2017-05-19","438",""
"11242","2017-05-20","439",""
"11242","2017-05-21","440",""
"11242","2017-05-22","438",""
"11242","2017-05-23","436",""
"11242","2017-05-24","435",""
"11242","2017-05-25","433",""
"11242","2017-05-26","431",""
"11242","2017-05-27","431",""
"11242","2017-05-28","429",""
"11242","2017-05-29","427","_"
"11242","2017-05-30","426","_"
"11242","2017-05-31","427",""
"11242","2017-06-01","426","^Т"
"11242","2017-06-02","425","Т"
"11242","2017-06-03","424","Т"
"11242","2017-06-04","423","Т"
"11242","2017-06-05","422","Т"
"11242","2017-06-06","421","Т"
"11242","2017-06-07","420","Т"
"11242","2017-06-08","419","ВТ"
"11242","2017-06-09","419","ВТ"
"11242","2017-06-10","417","ВТ"
"11242","2017-06-11","417","ВТ"
"11242","2017-06-12","416","ВТ"
"11242","2017-06-13","416","ВТ"
"11242","2017-06-14","416","ВТ"
"11242","2017-06-15","413","ВТ"
"11242","2017-06-16","416","ВТ"
"11242","2017-06-17","416","ВТ"
"11242","2017-06-18","410","ВТ"
"11242","2017-06-19","410","ВТ"
"11242","2017-06-20","410","ВТ"
"11242","2017-06-21","408","ВТ"
"11242","2017-06-22","408","ВТ"
"11242","2017-06-23","407","ВТ"
"11242","2017-06-24","406","ВТ"
"11242","2017-06-25","406","_ВТ"
"11242","2017-06-26","405","_ВТ"
"11242","2017-06-27","405","_ВТ"
"11242","2017-06-28","405","_ВТ"
"11242","2017-06-29","405","_ВТ"
"11242","2017-06-30","405","_ВТ"
"11242","2017-07-01","405","^ВА"
"11242","2017-07-02","405","^ВА"
"11242","2017-07-03","405","^ВА"
"11242","2017-07-04","405","^ВА"
"11242","2017-07-05","405","^ВА"
"11242","2017-07-06","405","^ВА"
"11242","2017-07-07","405","^ВА"
"11242","2017-07-08","403","ВА"
"11242","2017-07-09","403","ВА"
"11242","2017-07-10","403","ВА"
"11242","2017-07-11","401","_ВА"
"11242","2017-07-12","401","_ВА"
"11242","2017-07-13","401","_ВА"
"11242","2017-07-14","401","_ВА"
"11242","2017-07-15","401","_ВА"
"11242","2017-07-16","401","_ВА"
"11242","2017-07-17","401","_ВА"
"11242","2017-07-18","401","_ВА"
"11242","2017-07-19","401","_ВА"
"11242","2017-07-20","401","_ВА"
"11242","2017-07-21","401","_ВА"
"11242","2017-07-22","401","_ВА"
"11242","2017-07-23","401","_ВА"
"11242","2017-07-24","401","_ВА"
"11242","2017-07-25","401","_ВА"
"11242","2017-07-26","401","_ВА"
"11242","2017-07-27","401","_ВА"
"11242","2017-07-28","401","_ВА"
"11242","2017-07-29","401","_ВА"
"11242","2017-07-30","401","_ВА"
"11242","2017-07-31","401","_ВА"
"11242","2017-08-01","395","""ВА"
"11242","2017-08-02","395","""ВА"
"11242","2017-08-03","395","""ВА"
"11242","2017-08-04","395","""ВА"
"11242","2017-08-05","395","""ВА"
"11242","2017-08-06","395","""ВА"
"11242","2017-08-07","395","""ВА"
"11242","2017-08-08","395","""ВА"
"11242","2017-08-09","395","""ВА"
"11242","2017-08-10","395","""ВА"
"11242","2017-08-11","395","""ВА"
"11242","2017-08-12","395","""ВА"
"11242","2017-08-13","395","""ВА"
"11242","2017-08-14","395","""ВА"
"11242","2017-08-15","395","""ВА"
"11242","2017-08-16","395","""ВА"
"11242","2017-08-17","395","""ВА"
"11242","2017-08-18","395","""ВА"
"11242","2017-08-19","395","""ВА"
"11242","2017-08-20","395","""ВА"
"11242","2017-08-21","395","""ВА"
"11242","2017-08-22","395","""ВА"
"11242","2017-08-23","395","""ВА"
"11242","2017-08-24","395","""ВА"
"11242","2017-08-25","395","""ВА"
"11242","2017-08-26","395","""ВА"
"11242","2017-08-27","395","""ВА"
"11242","2017-08-28","395","""ВА"
"11242","2017-08-29","395","""ВА"
"11242","2017-08-30","395","""ВА"
"11242","2017-08-31","395","""ВА"
"11242","2017-09-01","398","_ВА"
"11242","2017-09-02","398","_ВА"
"11242","2017-09-03","398","_ВА"
"11242","2017-09-04","398","_ВА"
"11242","2017-09-05","398","_ВА"
"11242","2017-09-06","398","_ВА"
"11242","2017-09-07","398","_ВА"
"11242","2017-09-08","398","_ВА"
"11242","2017-09-09","398","_ВА"
"11242","2017-09-10","398","_ВА"
"11242","2017-09-11","398","_ВА"
"11242","2017-09-12","398","_ВА"
"11242","2017-09-13","398","_ВА"
"11242","2017-09-14","398","_ВА"
"11242","2017-09-15","398","_ВА"
"11242","2017-09-16","398","_ВА"
"11242","2017-09-17","398","_ВА"
"11242","2017-09-18","398","_ВА"
"11242","2017-09-19","398","_ВА"
"11242","2017-09-20","398","_ВА"
"11242","2017-09-21","398","_ВА"
"11242","2017-09-22","398","_ВА"
"11242","2017-09-23","398","_ВА"
"11242","2017-09-24","398","_ВА"
"11242","2017-09-25","398","_ВА"
"11242","2017-09-26","399","_ВА"
"11242","2017-09-27","399","ВА"
"11242","2017-09-28","399","ВА"
"11242","2017-09-29","400","^ВА"
"11242","2017-09-30","400","^ВА"
"11242","2017-10-01","400","_В"
"11242","2017-10-02","400","_В"
"11242","2017-10-03","401","_В"
"11242","2017-10-04","401","В"
"11242","2017-10-05","401","В"
"11242","2017-10-06","401","В"
"11242","2017-10-07","401","В"
"11242","2017-10-08","401","В"
"11242","2017-10-09","402","В"
"11242","2017-10-10","402","В"
"11242","2017-10-11","403","В"
"11242","2017-10-12","404","В"
"11242","2017-10-13","406","В"
"11242","2017-10-14","407","В"
"11242","2017-10-15","407","В"
"11242","2017-10-16","407","В"
"11242","2017-10-17","407","В"
"11242","2017-10-18","408","В"
"11242","2017-10-19","408","В"
"11242","2017-10-20","408","В"
"11242","2017-10-21","410","В"
"11242","2017-10-22","410","В"
"11242","2017-10-23","410","В"
"11242","2017-10-24","410","В"
"11242","2017-10-25","410","В"
"11242","2017-10-26","410","В"
"11242","2017-10-27","411","В"
"11242","2017-10-28","412","В"
"11242","2017-10-29","412","В"
"11242","2017-10-30","413","^В"
"11242","2017-10-31","414","^В"
"11242","2017-11-01","414","В"
"11242","2017-11-02","414","В"
"11242","2017-11-03","414","В"
"11242","2017-11-04","414","В"
"11242","2017-11-05","414","В"
"11242","2017-11-06","415","^В"
"11242","2017-11-07","415","^В"
"11242","2017-11-08","415","^В"
"11242","2017-11-09","415","^В"
"11242","2017-11-10","415","^В"
"11242","2017-11-11","415","^В"
"11242","2017-11-12","415","^В"
"11242","2017-11-13","408","^В"
"11242","2017-11-14","400","В"
"11242","2017-11-15","397","_В"
"11242","2017-11-16","397","_В"
"11242","2017-11-17","397","_В"
"11242","2017-11-18","397","_)В"
"11242","2017-11-19","397","_ZВ"
"11242","2017-11-20","397","_ZВ"
"11242","2017-11-21","397","_ZВ"
"11242","2017-11-22","397","_IВ"
"11242","2017-11-23","397","_IВ"
"11242","2017-11-24","397","_IВ"
"11242","2017-11-25","397","_IВ"
"11242","2017-11-26","397","_IВ"
"11242","2017-11-27","397","_IВ"
"11242","2017-11-28","397","_IВ"
"11242","2017-11-29","397","_IВ"
"11242","2017-11-30","397","_IВ"
"11242","2017-12-01","411","^IВ"
"11242","2017-12-02","414","^IВ"
"11242","2017-12-03","414","^IВ"
"11242","2017-12-04","414","^IВ"
"11242","2017-12-05","414","^IВ"
"11242","2017-12-06","414","^IВ"
"11242","2017-12-07","414","^IВ"
"11242","2017-12-08","414","^IВ"
"11242","2017-12-09","414","^IВ"
"11242","2017-12-10","","prmz"
"11242","2017-12-11","","prmz"
"11242","2017-12-12","","prmz"
"11242","2017-12-13","","prmz"
"11242","2017-12-14","","prmz"
"11242","2017-12-15","","prmz"
"11242","2017-12-16","","prmz"
"11242","2017-12-17","","prmz"
"11242","2017-12-18","","prmz"
"11242","2017-12-19","","prmz"
"11242","2017-12-20","","prmz"
"11242","2017-12-21","","prmz"
"11242","2017-12-22","","prmz"
"11242","2017-12-23","","prmz"
"11242","2017-12-24","","prmz"
"11242","2017-12-25","","prmz"
