"Код поста","Дата","Значение","Условный знак"
"13046","1995-01-01","","prsh"
"13046","1995-01-02","","prsh"
"13046","1995-01-03","","prsh"
"13046","1995-01-04","","prsh"
"13046","1995-01-05","","prsh"
"13046","1995-01-06","","prsh"
"13046","1995-01-07","","prsh"
"13046","1995-01-08","","prsh"
"13046","1995-01-09","","prsh"
"13046","1995-01-10","","prsh"
"13046","1995-01-11","","prsh"
"13046","1995-01-12","","prsh"
"13046","1995-01-13","","prsh"
"13046","1995-01-14","","prsh"
"13046","1995-01-15","","prsh"
"13046","1995-01-16","","prsh"
"13046","1995-01-17","","prsh"
"13046","1995-01-18","","prsh"
"13046","1995-01-19","","prsh"
"13046","1995-01-20","","prsh"
"13046","1995-01-21","","prsh"
"13046","1995-01-22","","prsh"
"13046","1995-01-23","","prsh"
"13046","1995-01-24","","prsh"
"13046","1995-01-25","","prsh"
"13046","1995-01-26","","prsh"
"13046","1995-01-27","","prsh"
"13046","1995-01-28","","prsh"
"13046","1995-01-29","","prsh"
"13046","1995-01-30","","prsh"
"13046","1995-01-31","","prsh"
"13046","1995-02-01","","prsh"
"13046","1995-02-02","","prsh"
"13046","1995-02-03","","prsh"
"13046","1995-02-04","","prsh"
"13046","1995-02-05","","prsh"
"13046","1995-02-06","","prsh"
"13046","1995-02-07","","prsh"
"13046","1995-02-08","","prsh"
"13046","1995-02-09","","prsh"
"13046","1995-02-10","","prsh"
"13046","1995-02-11","","prsh"
"13046","1995-02-12","","prsh"
"13046","1995-02-13","","prsh"
"13046","1995-02-14","","prsh"
"13046","1995-02-15","","prsh"
"13046","1995-02-16","","prsh"
"13046","1995-02-17","","prsh"
"13046","1995-02-18","","prsh"
"13046","1995-02-19","","prsh"
"13046","1995-02-20","","prsh"
"13046","1995-02-21","","prsh"
"13046","1995-02-22","","prsh"
"13046","1995-02-23","","prsh"
"13046","1995-02-24","","prsh"
"13046","1995-02-25","","prsh"
"13046","1995-02-26","","prsh"
"13046","1995-02-27","","prsh"
"13046","1995-02-28","","prsh"
"13046","1995-03-01","","prsh"
"13046","1995-03-02","","prsh"
"13046","1995-03-03","","prsh"
"13046","1995-03-04","","prsh"
"13046","1995-03-05","","prsh"
"13046","1995-03-06","","prsh"
"13046","1995-03-07","","prsh"
"13046","1995-03-08","","prsh"
"13046","1995-03-09","","prsh"
"13046","1995-03-10","","prsh"
"13046","1995-03-11","","prsh"
"13046","1995-03-12","","prsh"
"13046","1995-03-13","","prsh"
"13046","1995-03-14","","prsh"
"13046","1995-03-15","","prsh"
"13046","1995-03-16","","prsh"
"13046","1995-03-17","","prsh"
"13046","1995-03-18","","prsh"
"13046","1995-03-19","","prsh"
"13046","1995-03-20","2","↑"
"13046","1995-03-21","2","↑"
"13046","1995-03-22","2","↑"
"13046","1995-03-23","2","↑"
"13046","1995-03-24","2","↑х"
"13046","1995-03-25","2","↑х"
"13046","1995-03-26","2","↑х"
"13046","1995-03-27","2","↑х"
"13046","1995-03-28","2",""
"13046","1995-03-29","2",""
"13046","1995-03-30","2",""
"13046","1995-03-31","2",""
"13046","1995-04-01","2",""
"13046","1995-04-02","2",""
"13046","1995-04-03","2",""
"13046","1995-04-04","2",""
"13046","1995-04-05","2",""
"13046","1995-04-06","1",""
"13046","1995-04-07","1",""
"13046","1995-04-08","1",""
"13046","1995-04-09","1",""
"13046","1995-04-10","1",""
"13046","1995-04-11","1",""
"13046","1995-04-12","1",""
"13046","1995-04-13","1",""
"13046","1995-04-14","1",""
"13046","1995-04-15","1",""
"13046","1995-04-16","1",""
"13046","1995-04-17","1",""
"13046","1995-04-18","1",""
"13046","1995-04-19","1",""
"13046","1995-04-20","1",""
"13046","1995-04-21","1",""
"13046","1995-04-22","1",""
"13046","1995-04-23","1",""
"13046","1995-04-24","1",""
"13046","1995-04-25","1",""
"13046","1995-04-26","1",""
"13046","1995-04-27","1",""
"13046","1995-04-28","1",""
"13046","1995-04-29","1",""
"13046","1995-04-30","1",""
"13046","1995-05-01","1",""
"13046","1995-05-02","1",""
"13046","1995-05-03","1",""
"13046","1995-05-04","1",""
"13046","1995-05-05","1",""
"13046","1995-05-06","1",""
"13046","1995-05-07","1",""
"13046","1995-05-08","1",""
"13046","1995-05-09","1",""
"13046","1995-05-10","1",""
"13046","1995-05-11","1",""
"13046","1995-05-12","1",""
"13046","1995-05-13","1",""
"13046","1995-05-14","1",""
"13046","1995-05-15","1",""
"13046","1995-05-16","1",""
"13046","1995-05-17","1",""
"13046","1995-05-18","1",""
"13046","1995-05-19","1",""
"13046","1995-05-20","1",""
"13046","1995-05-21","1",""
"13046","1995-05-22","1",""
"13046","1995-05-23","1",""
"13046","1995-05-24","1",""
"13046","1995-05-25","1",""
"13046","1995-05-26","1",""
"13046","1995-05-27","1",""
"13046","1995-05-28","1",""
"13046","1995-05-29","1",""
"13046","1995-05-30","1",""
"13046","1995-05-31","1",""
"13046","1995-06-01","1",""
"13046","1995-06-02","1",""
"13046","1995-06-03","1",""
"13046","1995-06-04","1",""
"13046","1995-06-05","1",""
"13046","1995-06-06","1",""
"13046","1995-06-07","1",""
"13046","1995-06-08","1",""
"13046","1995-06-09","1",""
"13046","1995-06-10","1",""
"13046","1995-06-11","1",""
"13046","1995-06-12","1",""
"13046","1995-06-13","1",""
"13046","1995-06-14","1",""
"13046","1995-06-15","1",""
"13046","1995-06-16","1",""
"13046","1995-06-17","1",""
"13046","1995-06-18","1",""
"13046","1995-06-19","1",""
"13046","1995-06-20","1",""
"13046","1995-06-21","1",""
"13046","1995-06-22","1",""
"13046","1995-06-23","1",""
"13046","1995-06-24","1",""
"13046","1995-06-25","1",""
"13046","1995-06-26","1",""
"13046","1995-06-27","1",""
"13046","1995-06-28","1",""
"13046","1995-06-29","1",""
"13046","1995-06-30","1",""
"13046","1995-07-01","","prsh"
"13046","1995-07-02","","prsh"
"13046","1995-07-03","","prsh"
"13046","1995-07-04","","prsh"
"13046","1995-07-05","","prsh"
"13046","1995-07-06","","prsh"
"13046","1995-07-07","","prsh"
"13046","1995-07-08","","prsh"
"13046","1995-07-09","","prsh"
"13046","1995-07-10","","prsh"
"13046","1995-07-11","","prsh"
"13046","1995-07-12","","prsh"
"13046","1995-07-13","","prsh"
"13046","1995-07-14","","prsh"
"13046","1995-07-15","","prsh"
"13046","1995-07-16","","prsh"
"13046","1995-07-17","","prsh"
"13046","1995-07-18","","prsh"
"13046","1995-07-19","","prsh"
"13046","1995-07-20","","prsh"
"13046","1995-07-21","","prsh"
"13046","1995-07-22","","prsh"
"13046","1995-07-23","","prsh"
