"Код поста","Дата","Значение","Условный знак"
"15125","2001-01-01","292",""
"15125","2001-01-02","292",""
"15125","2001-01-03","292",""
"15125","2001-01-04","292",""
"15125","2001-01-05","292",""
"15125","2001-01-06","292",""
"15125","2001-01-07","292",""
"15125","2001-01-08","292",""
"15125","2001-01-09","292",""
"15125","2001-01-10","291",""
"15125","2001-01-11","291",""
"15125","2001-01-12","291",""
"15125","2001-01-13","291",""
"15125","2001-01-14","291",""
"15125","2001-01-15","291",""
"15125","2001-01-16","291",""
"15125","2001-01-17","291",""
"15125","2001-01-18","291",""
"15125","2001-01-19","291",""
"15125","2001-01-20","288",""
"15125","2001-01-21","284",""
"15125","2001-01-22","284",""
"15125","2001-01-23","284",""
"15125","2001-01-24","284",""
"15125","2001-01-25","284",""
"15125","2001-01-26","284",""
"15125","2001-01-27","284",""
"15125","2001-01-28","284",""
"15125","2001-01-29","282",""
"15125","2001-01-30","280",""
"15125","2001-01-31","280",""
"15125","2001-02-01","280",""
"15125","2001-02-02","275",""
"15125","2001-02-03","270",""
"15125","2001-02-04","270",""
"15125","2001-02-05","270",""
"15125","2001-02-06","270",""
"15125","2001-02-07","270",""
"15125","2001-02-08","270",""
"15125","2001-02-09","270",""
"15125","2001-02-10","270",""
"15125","2001-02-11","270",""
"15125","2001-02-12","270",""
"15125","2001-02-13","270",""
"15125","2001-02-14","270",""
"15125","2001-02-15","270",""
"15125","2001-02-16","269",""
"15125","2001-02-17","269",""
"15125","2001-02-18","269",""
"15125","2001-02-19","253",""
"15125","2001-02-20","237",""
"15125","2001-02-21","237",""
"15125","2001-02-22","237",""
"15125","2001-02-23","214",""
"15125","2001-02-24","194",""
"15125","2001-02-25","194",""
"15125","2001-02-26","194",""
"15125","2001-02-27","194",""
"15125","2001-02-28","145",""
"15125","2001-03-01","96",""
"15125","2001-03-02","96",""
"15125","2001-03-03","96",""
"15125","2001-03-04","96",""
"15125","2001-03-05","96",""
"15125","2001-03-06","96",""
"15125","2001-03-07","96",""
"15125","2001-03-08","96",""
"15125","2001-03-09","96",""
"15125","2001-03-10","96",""
"15125","2001-03-11","96",""
"15125","2001-03-12","96",""
"15125","2001-03-13","96",""
"15125","2001-03-14","96",""
"15125","2001-03-15","96",""
"15125","2001-03-16","96",""
"15125","2001-03-17","96",""
"15125","2001-03-18","96",""
"15125","2001-03-19","96",""
"15125","2001-03-20","96",""
"15125","2001-03-21","170",""
"15125","2001-03-22","244",""
"15125","2001-03-23","244",""
"15125","2001-03-24","244",""
"15125","2001-03-25","244",""
"15125","2001-03-26","244",""
"15125","2001-03-27","244",""
"15125","2001-03-28","244",""
"15125","2001-03-29","244",""
"15125","2001-03-30","244",""
"15125","2001-03-31","244",""
"15125","2001-04-01","244",""
"15125","2001-04-02","244",""
"15125","2001-04-03","244",""
"15125","2001-04-04","244",""
"15125","2001-04-05","244",""
"15125","2001-04-06","244",""
"15125","2001-04-07","244",""
"15125","2001-04-08","244",""
"15125","2001-04-09","244",""
"15125","2001-04-10","244",""
"15125","2001-04-11","244",""
"15125","2001-04-12","244",""
"15125","2001-04-13","244",""
"15125","2001-04-14","244",""
"15125","2001-04-15","244",""
"15125","2001-04-16","244",""
"15125","2001-04-17","244",""
"15125","2001-04-18","244",""
"15125","2001-04-19","244",""
"15125","2001-04-20","244",""
"15125","2001-04-21","244",""
"15125","2001-04-22","244",""
"15125","2001-04-23","244",""
"15125","2001-04-24","230",""
"15125","2001-04-25","215",""
"15125","2001-04-26","215",""
"15125","2001-04-27","215",""
"15125","2001-04-28","209",""
"15125","2001-04-29","203",""
"15125","2001-04-30","203",""
"15125","2001-05-01","203",""
"15125","2001-05-02","184",""
"15125","2001-05-03","164",""
"15125","2001-05-04","162",""
"15125","2001-05-05","167",""
"15125","2001-05-06","167",""
"15125","2001-05-07","174",""
"15125","2001-05-08","181",""
"15125","2001-05-09","181",""
"15125","2001-05-10","181",""
"15125","2001-05-11","181",""
"15125","2001-05-12","181",""
"15125","2001-05-13","181",""
"15125","2001-05-14","181",""
"15125","2001-05-15","181",""
"15125","2001-05-16","180",""
"15125","2001-05-17","178",""
"15125","2001-05-18","180",""
"15125","2001-05-19","179",""
"15125","2001-05-20","176",""
"15125","2001-05-21","176",""
"15125","2001-05-22","176",""
"15125","2001-05-23","176",""
"15125","2001-05-24","176",""
"15125","2001-05-25","176",""
"15125","2001-05-26","176",""
"15125","2001-05-27","175",""
"15125","2001-05-28","175",""
"15125","2001-05-29","175",""
"15125","2001-05-30","175",""
"15125","2001-05-31","174",""
"15125","2001-06-01","173",""
"15125","2001-06-02","173",""
"15125","2001-06-03","173",""
"15125","2001-06-04","173",""
"15125","2001-06-05","173",""
"15125","2001-06-06","173",""
"15125","2001-06-07","173",""
"15125","2001-06-08","175",""
"15125","2001-06-09","177",""
"15125","2001-06-10","177",""
"15125","2001-06-11","177",""
"15125","2001-06-12","177",""
"15125","2001-06-13","177",""
"15125","2001-06-14","177",""
"15125","2001-06-15","177",""
"15125","2001-06-16","177",""
"15125","2001-06-17","177",""
"15125","2001-06-18","177",""
"15125","2001-06-19","176",""
"15125","2001-06-20","176",""
"15125","2001-06-21","176",""
"15125","2001-06-22","179",""
"15125","2001-06-23","182",""
"15125","2001-06-24","182",""
"15125","2001-06-25","184",""
"15125","2001-06-26","182",""
"15125","2001-06-27","184",""
"15125","2001-06-28","179",""
"15125","2001-06-29","176",""
"15125","2001-06-30","176",""
"15125","2001-07-01","176",""
"15125","2001-07-02","176",""
"15125","2001-07-03","166",""
"15125","2001-07-04","156",""
"15125","2001-07-05","156",""
"15125","2001-07-06","156",""
"15125","2001-07-07","156",""
"15125","2001-07-08","156",""
"15125","2001-07-09","156",""
"15125","2001-07-10","156",""
"15125","2001-07-11","156",""
"15125","2001-07-12","156",""
"15125","2001-07-13","154",""
"15125","2001-07-14","152",""
"15125","2001-07-15","152",""
"15125","2001-07-16","152",""
"15125","2001-07-17","152",""
"15125","2001-07-18","152",""
"15125","2001-07-19","152",""
"15125","2001-07-20","152",""
"15125","2001-07-21","151",""
"15125","2001-07-22","151",""
"15125","2001-07-23","151",""
"15125","2001-07-24","151",""
"15125","2001-07-25","151",""
"15125","2001-07-26","149",""
"15125","2001-07-27","146",""
"15125","2001-07-28","146",""
"15125","2001-07-29","146",""
"15125","2001-07-30","146",""
"15125","2001-07-31","138",""
"15125","2001-08-01","130",""
"15125","2001-08-02","130",""
"15125","2001-08-03","130",""
"15125","2001-08-04","130",""
"15125","2001-08-05","130",""
"15125","2001-08-06","130",""
"15125","2001-08-07","130",""
"15125","2001-08-08","130",""
"15125","2001-08-09","130",""
"15125","2001-08-10","130",""
"15125","2001-08-11","130",""
"15125","2001-08-12","130",""
"15125","2001-08-13","130",""
"15125","2001-08-14","130",""
"15125","2001-08-15","130",""
"15125","2001-08-16","130",""
"15125","2001-08-17","130",""
"15125","2001-08-18","130",""
"15125","2001-08-19","130",""
"15125","2001-08-20","130",""
"15125","2001-08-21","130",""
"15125","2001-08-22","130",""
"15125","2001-08-23","130",""
"15125","2001-08-24","130",""
"15125","2001-08-25","130",""
"15125","2001-08-26","130",""
"15125","2001-08-27","134",""
"15125","2001-08-28","138",""
"15125","2001-08-29","134",""
"15125","2001-08-30","130",""
"15125","2001-08-31","130",""
"15125","2001-09-01","130",""
"15125","2001-09-02","130",""
"15125","2001-09-03","130",""
"15125","2001-09-04","130",""
"15125","2001-09-05","130",""
"15125","2001-09-06","130",""
"15125","2001-09-07","133",""
"15125","2001-09-08","135",""
"15125","2001-09-09","135",""
"15125","2001-09-10","135",""
"15125","2001-09-11","135",""
"15125","2001-09-12","135",""
"15125","2001-09-13","135",""
"15125","2001-09-14","125",""
"15125","2001-09-15","115",""
"15125","2001-09-16","115",""
"15125","2001-09-17","115",""
"15125","2001-09-18","115",""
"15125","2001-09-19","115",""
"15125","2001-09-20","115",""
"15125","2001-09-21","115",""
"15125","2001-09-22","115",""
"15125","2001-09-23","115",""
"15125","2001-09-24","115",""
"15125","2001-09-25","115",""
"15125","2001-09-26","115",""
"15125","2001-09-27","115",""
"15125","2001-09-28","115",""
"15125","2001-09-29","115",""
"15125","2001-09-30","115",""
"15125","2001-10-01","115",""
"15125","2001-10-02","115",""
"15125","2001-10-03","115",""
"15125","2001-10-04","115",""
"15125","2001-10-05","115",""
"15125","2001-10-06","115",""
"15125","2001-10-07","115",""
"15125","2001-10-08","115",""
"15125","2001-10-09","115",""
"15125","2001-10-10","115",""
"15125","2001-10-11","115",""
"15125","2001-10-12","115",""
"15125","2001-10-13","115",""
"15125","2001-10-14","115",""
"15125","2001-10-15","115",""
"15125","2001-10-16","115",""
"15125","2001-10-17","115",""
"15125","2001-10-18","115",""
"15125","2001-10-19","115",""
"15125","2001-10-20","115",""
"15125","2001-10-21","115",""
"15125","2001-10-22","115",""
"15125","2001-10-23","115",""
"15125","2001-10-24","115",""
"15125","2001-10-25","115",""
"15125","2001-10-26","105",""
"15125","2001-10-27","95",""
"15125","2001-10-28","151",""
"15125","2001-10-29","221",""
"15125","2001-10-30","236",""
"15125","2001-10-31","236",""
"15125","2001-11-01","238",""
"15125","2001-11-02","238",""
"15125","2001-11-03","238",""
"15125","2001-11-04","238",""
"15125","2001-11-05","238",""
"15125","2001-11-06","256",""
"15125","2001-11-07","288",""
"15125","2001-11-08","301",""
"15125","2001-11-09","301",""
"15125","2001-11-10","213",""
"15125","2001-11-11","124",""
"15125","2001-11-12","124",""
"15125","2001-11-13","124",""
"15125","2001-11-14","124",""
"15125","2001-11-15","124",""
"15125","2001-11-16","124",""
"15125","2001-11-17","124",""
"15125","2001-11-18","124",""
"15125","2001-11-19","218",""
"15125","2001-11-20","312",""
"15125","2001-11-21","312",""
"15125","2001-11-22","312",""
"15125","2001-11-23","312",""
"15125","2001-11-24","312",""
"15125","2001-11-25","312",""
"15125","2001-11-26","312",""
"15125","2001-11-27","310",""
"15125","2001-11-28","307",""
"15125","2001-11-29","307",""
"15125","2001-11-30","307",""
"15125","2001-12-01","307",""
"15125","2001-12-02","313",""
"15125","2001-12-03","319",""
"15125","2001-12-04","319",""
"15125","2001-12-05","319",""
"15125","2001-12-06","319",""
"15125","2001-12-07","319",""
"15125","2001-12-08","319",""
"15125","2001-12-09","319",""
"15125","2001-12-10","319",""
"15125","2001-12-11","319",""
"15125","2001-12-12","310",""
"15125","2001-12-13","300",""
"15125","2001-12-14","300",""
"15125","2001-12-15","300",""
"15125","2001-12-16","300",""
"15125","2001-12-17","300",""
"15125","2001-12-18","300",""
"15125","2001-12-19","296",""
"15125","2001-12-20","292",""
"15125","2001-12-21","292",""
"15125","2001-12-22","292",""
"15125","2001-12-23","292",""
"15125","2001-12-24","292",""
"15125","2001-12-25","292",""
"15125","2001-12-26","292",""
"15125","2001-12-27","292",""
"15125","2001-12-28","289",""
"15125","2001-12-29","285",""
"15125","2001-12-30","285",""
"15125","2001-12-31","285",""
"15125","2002-01-01","292",""
"15125","2002-01-02","292",""
"15125","2002-01-03","249",""
"15125","2002-01-04","205",""
"15125","2002-01-05","205",""
"15125","2002-01-06","205",""
"15125","2002-01-07","205",""
"15125","2002-01-08","205",""
"15125","2002-01-09","205",""
"15125","2002-01-10","202",""
"15125","2002-01-11","199",""
"15125","2002-01-12","199",""
"15125","2002-01-13","199",""
"15125","2002-01-14","199",""
"15125","2002-01-15","201",""
"15125","2002-01-16","202",""
"15125","2002-01-17","202",""
"15125","2002-01-18","202",""
"15125","2002-01-19","202",""
"15125","2002-01-20","219",""
"15125","2002-01-21","236",""
"15125","2002-01-22","236",""
"15125","2002-01-23","236",""
"15125","2002-01-24","236",""
"15125","2002-01-25","234",""
"15125","2002-01-26","234",""
"15125","2002-01-27","234",""
"15125","2002-01-28","234",""
"15125","2002-01-29","234",""
"15125","2002-01-30","236",""
"15125","2002-01-31","237",""
"15125","2002-02-01","190",""
"15125","2002-02-02","142",""
"15125","2002-02-03","142",""
"15125","2002-02-04","118",""
"15125","2002-02-05","95",""
"15125","2002-02-06","95",""
"15125","2002-02-07","95",""
"15125","2002-02-08","95",""
"15125","2002-02-09","95",""
"15125","2002-02-10","95",""
"15125","2002-02-11","95",""
"15125","2002-02-12","134",""
"15125","2002-02-13","172",""
"15125","2002-02-14","172",""
"15125","2002-02-15","172",""
"15125","2002-02-16","172",""
"15125","2002-02-17","172",""
"15125","2002-02-18","172",""
"15125","2002-02-19","174",""
"15125","2002-02-20","175",""
"15125","2002-02-21","175",""
"15125","2002-02-22","175",""
"15125","2002-02-23","175",""
"15125","2002-02-24","175",""
"15125","2002-02-25","176",""
"15125","2002-02-26","176",""
"15125","2002-02-27","200",""
"15125","2002-02-28","225",""
"15125","2002-03-01","225",""
"15125","2002-03-02","225",""
"15125","2002-03-03","225",""
"15125","2002-03-04","225",""
"15125","2002-03-05","186",""
"15125","2002-03-06","148",""
"15125","2002-03-07","148",""
"15125","2002-03-08","148",""
"15125","2002-03-09","149",""
"15125","2002-03-10","149",""
"15125","2002-03-11","149",""
"15125","2002-03-12","149",""
"15125","2002-03-13","207",""
"15125","2002-03-14","265",""
"15125","2002-03-15","265",""
"15125","2002-03-16","265",""
"15125","2002-03-17","265",""
"15125","2002-03-18","265",""
"15125","2002-03-19","265",""
"15125","2002-03-20","265",""
"15125","2002-03-21","265",""
"15125","2002-03-22","265",""
"15125","2002-03-23","265",""
