"Код поста","Дата","Значение","Условный знак"
"12001","2003-01-01","101","BI"
"12001","2003-01-02","101","BI"
"12001","2003-01-03","101","BI"
"12001","2003-01-04","101","BI"
"12001","2003-01-05","101","BI"
"12001","2003-01-06","101","BI"
"12001","2003-01-07","101","BI"
"12001","2003-01-08","100","BI"
"12001","2003-01-09","100","BI"
"12001","2003-01-10","100","BI"
"12001","2003-01-11","100","BI"
"12001","2003-01-12","100","BI"
"12001","2003-01-13","100","BI"
"12001","2003-01-14","100","BI"
"12001","2003-01-15","100","BI"
"12001","2003-01-16","100","BI"
"12001","2003-01-17","100","BI"
"12001","2003-01-18","100","BI"
"12001","2003-01-19","100","BI"
"12001","2003-01-20","100","BI"
"12001","2003-01-21","100","BI"
"12001","2003-01-22","100","BI"
"12001","2003-01-23","100","BI"
"12001","2003-01-24","100","BI"
"12001","2003-01-25","100","BI"
"12001","2003-01-26","100","BI"
"12001","2003-01-27","100","BI"
"12001","2003-01-28","100","BI"
"12001","2003-01-29","100","BI"
"12001","2003-01-30","100","BI"
"12001","2003-01-31","100","BI"
"12001","2003-02-01","100","BI"
"12001","2003-02-02","100","BI"
"12001","2003-02-03","101","BI"
"12001","2003-02-04","101","BI"
"12001","2003-02-05","102","BI"
"12001","2003-02-06","102","BI"
"12001","2003-02-07","102","BI"
"12001","2003-02-08","102","BI"
"12001","2003-02-09","104","BI"
"12001","2003-02-10","104","BI"
"12001","2003-02-11","104","BI"
"12001","2003-02-12","104","BI"
"12001","2003-02-13","105","BI"
"12001","2003-02-14","105","BI"
"12001","2003-02-15","105","BI"
"12001","2003-02-16","105","BI"
"12001","2003-02-17","106","BI"
"12001","2003-02-18","106","BI"
"12001","2003-02-19","107","BI"
"12001","2003-02-20","107","BI"
"12001","2003-02-21","107","BI"
"12001","2003-02-22","107","BI"
"12001","2003-02-23","107","BI"
"12001","2003-02-24","108","BI"
"12001","2003-02-25","108","BI"
"12001","2003-02-26","108","BI"
"12001","2003-02-27","108","BI"
"12001","2003-02-28","108","BI"
"12001","2003-03-01","108","BI"
"12001","2003-03-02","108","BI"
"12001","2003-03-03","108","BI"
"12001","2003-03-04","108","BI"
"12001","2003-03-05","108","BI"
"12001","2003-03-06","108","BI"
"12001","2003-03-07","108","BI"
"12001","2003-03-08","108","BI"
"12001","2003-03-09","108","BI"
"12001","2003-03-10","108","BI"
"12001","2003-03-11","108","BI"
"12001","2003-03-12","108","BI"
"12001","2003-03-13","108","BI"
"12001","2003-03-14","108","BI"
"12001","2003-03-15","108","BI"
"12001","2003-03-16","108","BI"
"12001","2003-03-17","108","BI"
"12001","2003-03-18","108","BI"
"12001","2003-03-19","108","BI"
"12001","2003-03-20","108","BI"
"12001","2003-03-21","108","BI"
"12001","2003-03-22","108","BI"
"12001","2003-03-23","108","BI"
"12001","2003-03-24","108","BI"
"12001","2003-03-25","108","BI"
"12001","2003-03-26","108","BI"
"12001","2003-03-27","108","BI"
"12001","2003-03-28","108","BI"
"12001","2003-03-29","109","BI"
"12001","2003-03-30","110","BI"
"12001","2003-03-31","113","BI"
"12001","2003-04-01","118","BI"
"12001","2003-04-02","118","BI"
"12001","2003-04-03","120","BI"
"12001","2003-04-04","118","BI"
"12001","2003-04-05","119","BI"
"12001","2003-04-06","119","BI"
"12001","2003-04-07","125","("
"12001","2003-04-08","132","("
"12001","2003-04-09","140","("
"12001","2003-04-10","148","("
"12001","2003-04-11","155","("
"12001","2003-04-12","164","("
"12001","2003-04-13","172","("
"12001","2003-04-14","188","("
"12001","2003-04-15","189","("
"12001","2003-04-16","180","I"
"12001","2003-04-17","171","I"
